,customer_unique_id,R,F,M
1588,043aee247e71edff7045664609f4d806,39479369.0,2.0,9.433627167084783
1615,0451ef5a31cea3e14ce02d768d7c9943,41981371.0,1.5849625007211563,8.601362245485138
1682,0482f8eb57c7df640fa8a9a6a883c488,9615704.0,1.5849625007211563,7.2173276682747955
1691,0488328f0b499963e32a37fa42a20ca0,35009523.0,1.5849625007211563,8.589351529153642
1706,048dbdf8f9bbd1be87b25868d1408311,29842267.0,1.5849625007211563,7.491452292037366
1783,04be500031efe43d2defff8c41810543,22323269.0,1.5849625007211563,8.00444521142764
1793,04c55667b44fae5f50ed71d40c633d09,42931127.0,3.1699250014423126,6.897845456005512
1814,04d3c2795b83634312bf3f86f41f7901,37572205.0,1.5849625007211563,9.222529277655838
1829,04def30885d4c09ed018f9bee6c3fac8,18851770.0,1.5849625007211563,5.878480131138581
1838,04e495a3f45df8b41be2e934bbc16961,23057059.0,1.5849625007211563,7.649328040984784
1853,04eb4e845e65d2c3ae9f85f2a0be5518,50314042.0,1.5849625007211563,7.282161766581817
1893,04fc637963fe982dd25ac58e4f4770c1,17784606.0,1.5849625007211563,7.0066346433942295
1910,050555c26479bbb8ba0740c37e7454d0,16694594.0,1.5849625007211563,6.642123916153488
1917,0509ab034845adb0b4c91b6f0e7b7260,14337963.0,1.5849625007211563,8.4113414984629
1958,0526069a90ad5605a9b7b0c21bb9d1ca,9621218.0,1.5849625007211563,4.484782623077873
1980,0532d96f4f22a1fd1fb643c84f834fc0,31647130.0,1.5849625007211563,6.099926350556032
1992,053b7090271ed4dacbfe0afd6382bbab,33156998.0,1.5849625007211563,6.864062302854909
1998,053f7850c3ffd9726cff61c7e42af797,41026051.0,1.5849625007211563,5.966707314150315
2001,054151a8eed2b75f007d3be0957fd5ed,6644861.0,2.0,6.224580566083444
2018,05530f12381a5556c040029ac0036a18,54020095.0,1.5849625007211563,7.044394119358453
2026,055a6d8515c1b5dbc065a03770ae504b,35200275.0,1.5849625007211563,4.23112515787905
2032,055ec572ac7f3c7bdd04a183830ebe59,39393663.0,1.5849625007211563,11.985158842747735
2039,05669445931c028d97b7c0637b5a2359,32401635.0,1.5849625007211563,7.726422540846136
2051,056fc7649dca9b36f1b2171d6176a2da,36443645.0,1.5849625007211563,7.180406485310635
2059,057583d44728a47f6f223414b7e6cc83,13748556.0,1.5849625007211563,6.639232163249277
2088,05881608070651676a74a9859c492c43,12263148.0,1.5849625007211563,5.092968509324141
2093,058b604a0df6b29f03c540de254b197f,15348955.0,1.5849625007211563,6.559491813205038
2104,05950dd13be9313da9752082073de48d,36715884.0,1.5849625007211563,6.765269520690589
2113,059d1f5650f05d9fed9a6d941593f9b4,18404958.0,1.5849625007211563,7.054631448782967
2118,059e7585d8fcd2430a33375bdbcbb990,5117204.0,2.0,8.964254216839459
2124,05a2746f52eedb30b1ba9a67a457e605,44930112.0,1.5849625007211563,6.202809492125014
2162,05c0c68fbdf283e56b37df9f2d20245c,22290677.0,1.5849625007211563,5.854245054220128
2181,05cc11f944a9cc2f8dd41fae770c313d,13482736.0,1.5849625007211563,9.106589111546114
2211,05e52c1f96f8b83dd66dcdce679ff58d,38900268.0,1.5849625007211563,7.907852071845964
2220,05edb10f73fe7d03959ff26540913b3a,24820737.0,1.5849625007211563,7.861024853261309
2225,05ef855308303397f1427f29470bb6ab,18344638.0,1.5849625007211563,6.467605550082997
2273,060f9ea0a180843fb91d4923b6d01bea,19100973.0,1.5849625007211563,9.29836047239285
2298,0621c2a5979d3e887ae519620cbe2926,37438952.0,1.5849625007211563,9.009800630771906
2348,06445b7b84f41be019bb45a23c972b6d,39892291.0,1.5849625007211563,6.002252451731378
2381,065938485846aa5adc196cb536de42e0,20403781.0,1.5849625007211563,8.791781519011172
2390,065dcef61d5f66b30d2ee51b5343d023,27719982.0,1.5849625007211563,7.566206293465506
2399,0661e01d452f82266d0d2ad2ab668575,52617882.0,1.5849625007211563,7.399171093819823
2470,0697142614905a50813d854fa08b8eaf,7436222.0,1.5849625007211563,6.702241960775077
2476,0699c67bf57338fea4c2c1a6df0ab295,13639086.0,1.5849625007211563,8.32629464950915
2489,06a230ee53830547ef358d83218bc975,17085558.0,1.5849625007211563,4.846994686965574
2495,06a52782a04f0086d16b9c22d0e29438,45695947.0,2.0,7.269874722482472
2510,06b08c5a655b72aae399c4411e15cb47,29481488.0,1.5849625007211563,4.444932048942182
2541,06c561c88ff6b8813508f972f71829d2,53228454.0,1.5849625007211563,8.507636093570602
2559,06d26e5230ac619719997a8cf435a69b,16834312.0,1.5849625007211563,6.125361806351781
2596,06e8ff0c6a24159a7e5e035a172ba989,10194661.0,1.5849625007211563,7.4165864375419055
2651,070acf4df1234a6257809e4e79644481,7897700.0,1.5849625007211563,9.983022086172278
2659,0710e0c85fe7cb494d624e0863782e46,18152618.0,1.5849625007211563,7.908332569782425
2675,071bb277b0146da77fac31e70657815e,15973682.0,1.5849625007211563,7.040454121349624
2684,071fb07419a29c8ba143831082e0320a,24224553.0,1.5849625007211563,8.895151120704051
2702,072a543c663f0b54b41af8b074162d62,5381019.0,2.584962500721156,7.701895550457932
2707,072e64d9eb05971a562327153e630f55,24444290.0,1.5849625007211563,5.303780748177103
2713,073037acc049d2be44730a7e39836046,26108350.0,1.5849625007211563,8.228193387152652
2720,07342638d0e0aad32c3cf0efc1a37ba5,33296534.0,1.5849625007211563,9.277008366854865
2725,0736c3512f09264b684b2b291a662689,20025252.0,2.0,6.044612692957976
2766,0751ebe1c05ef7a632934adae06c6d4a,38965037.0,1.5849625007211563,7.5682601688014035
2784,075bd6bbcb5b72fdf182f59e501add75,38968405.0,1.5849625007211563,6.469885976274464
2785,075c38f7a650b0dc822712c7a58e93d4,31350158.0,1.5849625007211563,6.988911864954021
2786,075c65074dbbe8cc9fc87132c5e452b0,13656580.0,2.584962500721156,7.651625783920643
